Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Squat (Barbell)",1,0.0,10,0,0,"","15 min interval run for warmup, 7 fast 1.5 slow",
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Squat (Barbell)",2,20.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Squat (Barbell)",3,20.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Squat (Barbell)",4,40.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Squat (Barbell)",5,40.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Squat (Barbell)",6,20.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bent Over Row (Barbell)",1,0.0,5,0,0,"",,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bent Over Row (Barbell)",2,0.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bent Over Row (Barbell)",3,0.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bent Over Row (Barbell)",4,20.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bent Over Row (Barbell)",5,0.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bench Press (Barbell)",1,0.0,5,0,0,"",,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bench Press (Barbell)",2,20.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bench Press (Barbell)",3,30.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bench Press (Barbell)",4,30.0,5,0,0,,,
2024-09-24 17:18:04,"Strong 5x5 - Workout A",59m,"Bench Press (Barbell)",5,0.0,8,0,0,,,
2024-09-25 18:46:23,"Back and Biceps",26m,"Deadlift (Barbell)",1,20.0,10,0,0,"","Approx 115 lb",
2024-09-25 18:46:23,"Back and Biceps",26m,"Deadlift (Barbell)",2,20.0,10,0,0,,,
2024-09-25 18:46:23,"Back and Biceps",26m,"Deadlift (Barbell)",3,20.0,10,0,0,,,
2024-09-25 18:46:23,"Back and Biceps",26m,"Lat Pulldown (Cable)",1,55.0,10,0,0,"",,
2024-09-25 18:46:23,"Back and Biceps",26m,"Lat Pulldown (Cable)",2,70.0,10,0,0,,,
2024-09-25 18:46:23,"Back and Biceps",26m,"Lat Pulldown (Cable)",3,85.0,5,0,0,,,
2024-09-25 18:46:23,"Back and Biceps",26m,"Seated Row (Machine)",1,55.0,10,0,0,"",,
2024-09-25 18:46:23,"Back and Biceps",26m,"Seated Row (Machine)",2,70.0,8,0,0,,,
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Squat (Barbell)",1,0.0,10,0,0,"","",
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Squat (Barbell)",2,20.0,5,0,0,,,
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Squat (Barbell)",3,40.0,5,0,0,,,
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Squat (Barbell)",4,40.0,5,0,0,,,
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Squat (Barbell)",5,40.0,5,0,0,,,
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Squat (Barbell)",6,50.0,5,0,0,,,
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Leg Extension (Machine)",1,70.0,12,0,0,"",,
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Leg Extension (Machine)",2,70.0,12,0,0,,,
2024-09-26 13:29:07,"Strong 5x5 - Workout B",40m,"Lat Pulldown (Cable)",1,85.0,6,0,0,"",,
